Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
German Credit,imbalanced_feature_distribution,medium,automated_cleaning,quantile transform,0.007820700004231185,800,800,0.0,0.4179449081420895,0.4257656081463207
German Credit,imbalanced_feature_distribution,high,automated_cleaning,quantile transform,0.007588100008433685,800,800,0.0,0.4431738853454587,0.4507619853538924
German Credit,invalid_values,low,automated_cleaning,sentinel to NaN then impute,0.004975799995008856,800,800,0.0,0.4200947284698482,0.42507052846485704
German Credit,invalid_values,medium,automated_cleaning,sentinel to NaN then impute,0.004737399984151125,800,800,0.0,0.4574677944183348,0.4622051944024859
German Credit,invalid_values,high,automated_cleaning,sentinel to NaN then impute,0.005332700005965307,800,800,0.0,0.4293351173400876,0.4346678173460529
German Credit,missing_values,low,automated_cleaning,KNN imputation,0.017178600013721734,800,800,0.0,0.4267699718475337,0.4439485718612554
German Credit,missing_values,medium,automated_cleaning,KNN imputation,0.02559299999848008,800,800,0.0,0.45004796981811507,0.47564096981659515
German Credit,missing_values,high,automated_cleaning,KNN imputation,0.035620000009657815,800,800,0.0,0.4235272407531733,0.4591472407628311
German Credit,missing_values_mnar,low,automated_cleaning,KNN imputation,0.01556880000862293,800,800,0.0,0.435334205627441,0.45090300563606395
German Credit,missing_values_mnar,medium,automated_cleaning,KNN imputation,0.029578099987702444,800,800,0.0,0.4601838588714597,0.4897619588591621
German Credit,missing_values_mnar,high,automated_cleaning,KNN imputation,0.0372536999930162,800,800,0.0,0.4443185329437252,0.4815722329367414
German Credit,outliers,low,automated_cleaning,IQR clipping,0.006969900015974417,800,800,0.0,0.4043161869049069,0.4112860869208813
German Credit,outliers,medium,automated_cleaning,IQR clipping,0.007063900004141033,800,800,0.0,0.38842773437499967,0.3954916343791407
German Credit,outliers,high,automated_cleaning,IQR clipping,0.0071044999931473285,800,800,0.0,0.4004018306732174,0.4075063306663647
German Credit,outliers_targeted,low,automated_cleaning,IQR clipping,0.006766599981347099,800,800,0.0,0.3952627182006834,0.4020293181820305
German Credit,outliers_targeted,medium,automated_cleaning,IQR clipping,0.006996399984927848,800,800,0.0,0.4008979797363278,0.40789437972125564
German Credit,outliers_targeted,high,automated_cleaning,IQR clipping,0.006648299982771277,800,800,0.0,0.394931316375732,0.40157961635850326
German Credit,redundant_features,low,automated_cleaning,drop correlated features,0.0011922999983653426,800,800,0.0,0.4176695346832273,0.41886183468159266
German Credit,redundant_features,medium,automated_cleaning,drop correlated features,0.001207799999974668,800,800,0.0,0.45821237564086886,0.45942017564084353
German Credit,redundant_features,high,automated_cleaning,drop correlated features,0.001306700025452301,800,800,0.0,0.44330668449401833,0.44461338451947063
German Credit,typographical_errors,low,automated_cleaning,fuzzy match to known categories,0.020412399986525998,800,800,0.0,0.43270349502563443,0.45311589501216043
German Credit,typographical_errors,medium,automated_cleaning,fuzzy match to known categories,0.024867800006177276,800,800,0.0,0.4764750003814693,0.5013428003876466
German Credit,typographical_errors,high,automated_cleaning,fuzzy match to known categories,0.028775199985830113,800,800,0.0,0.4298002719879148,0.45857547197374493
Adult Income,categorical_errors,low,automated_cleaning,validate against vocabulary,0.015692299988586456,24129,24129,0.0,6.551323175430299,6.567015475418885
Adult Income,categorical_errors,medium,automated_cleaning,validate against vocabulary,0.015905999985989183,24129,24129,0.0,5.475568532943726,5.491474532929715
Adult Income,categorical_errors,high,automated_cleaning,validate against vocabulary,0.015805500006536022,24129,24129,0.0,6.606424331665039,6.622229831671575
Adult Income,class_imbalance,low,automated_cleaning,oversample minority,0.004735700000310317,23529,36246,54.04819584342726,9.780426502227783,9.785162202228094
Adult Income,class_imbalance,medium,automated_cleaning,oversample minority,0.00456490000942722,22628,36246,60.18207530493195,9.863900661468506,9.868465561477933
Adult Income,class_imbalance,high,automated_cleaning,oversample minority,0.004926199995679781,21727,36246,66.82468817600221,9.90466570854187,9.90959190853755
Adult Income,contextual_errors,low,automated_cleaning,IQR clipping,0.008482899982482195,24129,24129,0.0,7.104400634765625,7.112883534748107
Adult Income,contextual_errors,medium,automated_cleaning,IQR clipping,0.0074933999858330935,24129,24129,0.0,7.340775966644287,7.34826936663012
Adult Income,contextual_errors,high,automated_cleaning,IQR clipping,0.007912100001703948,24129,24129,0.0,7.157961845397949,7.165873945399653
Adult Income,data_heterogeneity,low,automated_cleaning,re-standardise features,0.0043899999873247,24129,24129,0.0,6.774591684341431,6.778981684328755
Adult Income,data_heterogeneity,medium,automated_cleaning,re-standardise features,0.00427740000304766,24129,24129,0.0,6.736476421356201,6.740753821359249
Adult Income,data_heterogeneity,high,automated_cleaning,re-standardise features,0.004088499990757555,24129,24129,0.0,6.6277618408203125,6.63185034081107
Adult Income,data_inconsistency,low,automated_cleaning,consistency rules,0.027155599993420765,24129,24129,0.0,6.586014032363892,6.613169632357312
Adult Income,data_inconsistency,medium,automated_cleaning,consistency rules,0.02718440000899136,24129,24129,0.0,6.0200514793396,6.047235879348591
Adult Income,data_inconsistency,high,automated_cleaning,consistency rules,0.02757710000150837,24129,24129,0.0,6.487119674682617,6.514696774684126
Adult Income,data_leakage,low,automated_cleaning,drop features with |corr| > 0.5,0.0027270000136923045,24129,24129,0.0,6.4334845542907715,6.436211554304464
Adult Income,data_leakage,medium,automated_cleaning,drop features with |corr| > 0.5,0.003025699988938868,24129,24129,0.0,5.81433629989624,5.817361999885179
Adult Income,data_leakage,high,automated_cleaning,drop features with |corr| > 0.5,0.002923799998825416,24129,24129,0.0,6.823119640350342,6.826043440349167
Adult Income,domain_violations,low,automated_cleaning,IQR clipping,0.008000799978617579,24129,24129,0.0,7.296759128570557,7.304759928549174
Adult Income,domain_violations,medium,automated_cleaning,IQR clipping,0.008351399999810383,24129,24129,0.0,7.314222574234009,7.322573974233819
Adult Income,domain_violations,high,automated_cleaning,IQR clipping,0.0075594999943859875,24129,24129,0.0,7.137870311737061,7.145429811731447
Adult Income,duplicates,low,automated_cleaning,drop exact duplicates,0.020139900007052347,25335,24116,-4.8115255575291105,6.467155933380127,6.487295833387179
Adult Income,duplicates,medium,automated_cleaning,drop exact duplicates,0.019636700017144904,26541,24116,-9.136807203948608,6.833273887634277,6.852910587651422
Adult Income,duplicates,high,automated_cleaning,drop exact duplicates,0.02213649998884648,27748,24116,-13.089231656335592,6.517630577087402,6.539767077076249
