Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,label_noise,low,LightGBM,dirty,0.964912281,0.975,0.928571429,0.951219512,0.982473545,0.033202648,455,30,"{'error_type': 'label_noise', 'intended_rate': 5, 'actual_rate': 4.835164835164836, 'labels_flipped': 22, 'injection_version': 1}"
Breast Cancer,label_noise,medium,Logistic Regression,dirty,0.929824561,0.947368421,0.857142857,0.9,0.991402116,0.007906914,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,Gaussian Naive Bayes,dirty,0.929824561,0.972222222,0.833333333,0.897435897,0.988756614,0.000973701,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,KNN,dirty,0.929824561,0.972222222,0.833333333,0.897435897,0.975198413,0.000995159,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,MLP,dirty,0.956140351,0.951219512,0.928571429,0.939759036,0.985119048,0.147923946,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,Decision Tree,dirty,0.877192982,0.85,0.80952381,0.829268293,0.810846561,0.00586009,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,Random Forest,dirty,0.947368421,0.973684211,0.880952381,0.925,0.989417989,0.095649242,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,XGBoost,dirty,0.921052632,0.945945946,0.833333333,0.886075949,0.980489418,0.082197666,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,medium,LightGBM,dirty,0.921052632,1,0.785714286,0.88,0.982142857,0.021486282,455,30,"{'error_type': 'label_noise', 'intended_rate': 10, 'actual_rate': 9.89010989010989, 'labels_flipped': 45, 'injection_version': 1}"
Breast Cancer,label_noise,high,Logistic Regression,dirty,0.929824561,0.886363636,0.928571429,0.906976744,0.982142857,0.008343458,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,label_noise,high,Gaussian Naive Bayes,dirty,0.947368421,1,0.857142857,0.923076923,0.991402116,0.000975132,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,label_noise,high,KNN,dirty,0.938596491,0.926829268,0.904761905,0.915662651,0.95353836,0.000976324,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,label_noise,high,MLP,dirty,0.912280702,0.847826087,0.928571429,0.886363636,0.959325397,0.141508818,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,label_noise,high,Decision Tree,dirty,0.859649123,0.842105263,0.761904762,0.8,0.75,0.005884647,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,label_noise,high,Random Forest,dirty,0.929824561,0.947368421,0.857142857,0.9,0.982142857,0.086864233,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
Breast Cancer,label_noise,high,XGBoost,dirty,0.938596491,0.948717949,0.880952381,0.913580247,0.977513228,0.07961607,455,30,"{'error_type': 'label_noise', 'intended_rate': 15, 'actual_rate': 14.945054945054945, 'labels_flipped': 68, 'injection_version': 1}"
