Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata,Random_State
Telco Churn,data_heterogeneity,high,MLP,dirty,0.7803837953091685,0.5905292479108635,0.5668449197860963,0.5784447476125512,0.8130270589270645,0.7122704753819156,0.5992583537932732,2.206247091293335,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,Decision Tree,dirty,0.7370291400142146,0.5042194092827004,0.6390374331550802,0.5636792452830188,0.7241330220374694,0.7057723467808314,0.4263193404292464,0.014696598052978516,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,Random Forest,dirty,0.7853589196872779,0.5913705583756346,0.6229946524064172,0.6067708333333334,0.8301517826174736,0.7335689622148251,0.6369191110270302,0.14275097846984863,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,XGBoost,dirty,0.7825159914712153,0.5801886792452831,0.6577540106951871,0.6165413533834586,0.830766522925284,0.7427201805654058,0.6367401656915339,0.07987141609191895,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Telco Churn,data_heterogeneity,high,LightGBM,dirty,0.7803837953091685,0.5775656324582339,0.6470588235294118,0.6103404791929382,0.8277821205046305,0.737856614088036,0.6279134720893345,0.05916476249694824,5625,19,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 1, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,Logistic Regression,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9966931216931216,0.9692460317460317,0.9952314259036948,0.008804082870483398,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.9877645502645502,0.9027777777777778,0.9803697494102681,0.0029296875,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,KNN,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9824735449735449,0.9454365079365079,0.974194925610922,0.0009758472442626953,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,MLP,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9937169312169312,0.9642857142857143,0.9918084788774445,0.28645777702331543,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,Decision Tree,dirty,0.9210526315789473,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9176587301587301,0.9176587301587302,0.8346447514134173,0.009064674377441406,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,Random Forest,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9912367724867724,0.9454365079365079,0.9875094108789761,0.09647798538208008,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,XGBoost,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089948,0.9642857142857143,0.993431855500821,0.05960726737976074,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,data_inconsistency,low,LightGBM,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9943783068783068,0.9523809523809523,0.9931396287328491,0.03271961212158203,455,30,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 15, 'rows_affected': 15, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,Logistic Regression,dirty,0.745,0.7986577181208053,0.85,0.8235294117647058,0.7802380952380952,0.675,0.8900007058212578,0.006835222244262695,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,Gaussian Naive Bayes,dirty,0.54,0.875,0.4,0.5490196078431373,0.7457738095238096,0.6333333333333333,0.8558877047726018,0.001953601837158203,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,KNN,dirty,0.705,0.7454545454545455,0.8785714285714286,0.8065573770491803,0.680595238095238,0.5892857142857143,0.8099516527181968,0.0,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,MLP,dirty,0.71,0.7887323943661971,0.8,0.7943262411347518,0.7786904761904763,0.65,0.8911565720862799,0.3187098503112793,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,Decision Tree,dirty,0.67,0.7605633802816901,0.7714285714285715,0.7659574468085106,0.6242857142857143,0.6023809523809525,0.7613403014157007,0.0029299259185791016,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,Random Forest,dirty,0.775,0.7950310559006211,0.9142857142857143,0.8504983388704319,0.8077380952380951,0.6821428571428572,0.9085543006945149,0.11480975151062012,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,XGBoost,dirty,0.735,0.7959183673469388,0.8357142857142857,0.8153310104529616,0.7675,0.6678571428571429,0.885111535049375,0.0583498477935791,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,data_inconsistency,low,LightGBM,dirty,0.74,0.7894736842105263,0.8571428571428571,0.821917808219178,0.7872619047619048,0.6619047619047619,0.8942476061165359,0.03341507911682129,800,20,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 28, 'rows_affected': 28, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Adult Income,data_inconsistency,low,Logistic Regression,dirty,0.7633018398806564,0.8245614035087719,0.06258322237017311,0.11633663366336634,0.7475251860169667,0.5290845928668345,0.5034794532480625,0.0157010555267334,24129,14,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 844, 'rows_affected': 844, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Adult Income,data_inconsistency,low,Gaussian Naive Bayes,dirty,0.7661196751201724,0.5556915544675642,0.3022636484687084,0.39154808106942646,0.7806486811816569,0.6110744417580797,0.5316758173809388,0.009015798568725586,24129,14,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 844, 'rows_affected': 844, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Adult Income,data_inconsistency,low,KNN,dirty,0.8117023039946958,0.6490228013029316,0.5306258322237017,0.5838827838827839,0.8291689209502462,0.7177516713535194,0.5977361613662859,0.05509638786315918,24129,14,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 844, 'rows_affected': 844, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Adult Income,data_inconsistency,low,MLP,dirty,0.8257914801922758,0.7243781094527363,0.48468708388814913,0.5807738332668528,0.8799164565689064,0.7117763382362838,0.7284158522875337,7.679032325744629,24129,14,"{'error_type': 'data_inconsistency', 'intended_rate': 3.5, 'inconsistencies_added': 844, 'rows_affected': 844, 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
