Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
German Credit,data_inconsistency,low,automated_cleaning,consistency rules,0.011564200016437098,800,800,0.0,0.4397392272949215,0.4513034273113586
German Credit,data_inconsistency,medium,automated_cleaning,consistency rules,0.01095060000079684,800,800,0.0,0.4383327960968014,0.44928339609759826
German Credit,data_inconsistency,high,automated_cleaning,consistency rules,0.0113314000191167,800,800,0.0,0.4257106781005856,0.4370420781197023
German Credit,data_leakage,low,automated_cleaning,drop features with |corr| > 0.5,0.0005998000269755721,800,800,0.0,0.4395871162414547,0.44018691626843026
German Credit,data_leakage,medium,automated_cleaning,drop features with |corr| > 0.5,0.0007903000223450363,800,800,0.0,0.4429597854614254,0.44375008548377043
German Credit,data_leakage,high,automated_cleaning,drop features with |corr| > 0.5,0.0007673000218346715,800,800,0.0,0.4343931674957271,0.43516046751756177
German Credit,domain_violations,low,automated_cleaning,IQR clipping,0.0058323999983258545,800,800,0.0,0.3948552608489985,0.4006876608473244
German Credit,domain_violations,medium,automated_cleaning,IQR clipping,0.005970600002910942,800,800,0.0,0.3949403762817379,0.40091097628464883
German Credit,domain_violations,high,automated_cleaning,IQR clipping,0.005979999987175688,800,800,0.0,0.40125298500061,0.4072329849877857
German Credit,duplicates,low,automated_cleaning,drop exact duplicates,0.0021536999847739935,840,800,-4.761904761904762,0.4335470199584958,0.4357007199432698
German Credit,duplicates,medium,automated_cleaning,drop exact duplicates,0.0019496000022627413,880,800,-9.090909090909092,0.4288682937622066,0.43081789376446933
German Credit,duplicates,high,automated_cleaning,drop exact duplicates,0.0019461999763734639,920,800,-13.043478260869565,0.4710943698883052,0.4730405698646787
German Credit,duplicates_minority,low,automated_cleaning,drop exact duplicates,0.0018866000173147768,840,800,-4.761904761904762,0.4854054450988766,0.4872920451161914
German Credit,duplicates_minority,medium,automated_cleaning,drop exact duplicates,0.0018755999917630106,880,800,-9.090909090909092,0.436714172363281,0.438589772355044
German Credit,duplicates_minority,high,automated_cleaning,drop exact duplicates,0.001952299993718043,920,800,-13.043478260869565,0.4443244934082028,0.44627679340192083
German Credit,duplicates_targeted,low,automated_cleaning,drop exact duplicates,0.0019122000085189939,840,800,-4.761904761904762,0.4265239238739011,0.4284361238824201
German Credit,duplicates_targeted,medium,automated_cleaning,drop exact duplicates,0.0019321999861858785,880,800,-9.090909090909092,0.42076325416564897,0.42269545415183485
German Credit,duplicates_targeted,high,automated_cleaning,drop exact duplicates,0.001985800015972927,920,800,-13.043478260869565,0.4541931152343746,0.45617891525034754
German Credit,feature_noise,low,automated_cleaning,rank-order median smoothing,0.0038249999925028533,800,800,0.0,0.4804384708404538,0.4842634708329567
German Credit,feature_noise,medium,automated_cleaning,rank-order median smoothing,0.003867200022796169,800,800,0.0,0.45721411705017057,0.46108131707296673
German Credit,feature_noise,high,automated_cleaning,rank-order median smoothing,0.003952300001401454,800,800,0.0,0.46048045158386186,0.4644327515852633
German Credit,feature_noise_targeted,low,automated_cleaning,rank-order median smoothing,0.001973700011149049,800,800,0.0,0.472516298294067,0.47448999830521604
