Dataset,Error_Type,Severity,Model,Dirty_Accuracy,Clean_Accuracy,Cleaned_Accuracy,Damage_pp,Improvement_pp,Route,Family
Breast Cancer,missing_values,low,XGBoost,0.9736842105263158,0.9649122807017544,0.9649122807017544,-0.8771929824561431,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,missing_values,medium,Decision Tree,0.9385964912280702,0.9298245614035088,0.912280701754386,-0.8771929824561431,-2.631578947368418,automated_cleaning,tree
Breast Cancer,missing_values,medium,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.0,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values,medium,KNN,0.9298245614035088,0.956140350877193,0.9385964912280702,2.631578947368418,0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values,medium,LightGBM,0.9912280701754386,0.9736842105263158,0.9824561403508772,-1.754385964912275,-0.877192982456132,automated_cleaning,tree
Breast Cancer,missing_values,medium,Logistic Regression,0.9824561403508772,0.9649122807017544,0.9824561403508772,-1.7543859649122862,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values,medium,MLP,0.9649122807017544,0.9649122807017544,0.9736842105263158,0.0,0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values,medium,Random Forest,0.956140350877193,0.9736842105263158,0.9736842105263158,1.7543859649122862,1.7543859649122862,automated_cleaning,tree
Breast Cancer,missing_values,medium,XGBoost,0.9912280701754386,0.9649122807017544,0.9824561403508772,-2.631578947368418,-0.877192982456132,automated_cleaning,tree
Breast Cancer,missing_values_mnar,high,Decision Tree,0.9298245614035088,0.9298245614035088,0.8771929824561403,0.0,-5.263157894736848,automated_cleaning,tree
Breast Cancer,missing_values_mnar,high,Gaussian Naive Bayes,0.9473684210526316,0.9210526315789472,0.9385964912280702,-2.6315789473684403,-0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,high,KNN,0.9035087719298246,0.956140350877193,0.9035087719298246,5.263157894736836,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,high,LightGBM,0.9210526315789472,0.9736842105263158,0.9210526315789472,5.2631578947368585,0.0,automated_cleaning,tree
Breast Cancer,missing_values_mnar,high,Logistic Regression,0.9649122807017544,0.9649122807017544,0.9385964912280702,0.0,-2.631578947368418,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,high,MLP,0.9736842105263158,0.9649122807017544,0.9298245614035088,-0.8771929824561431,-4.385964912280704,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,high,Random Forest,0.9736842105263158,0.9736842105263158,0.9210526315789472,0.0,-5.2631578947368585,automated_cleaning,tree
Breast Cancer,missing_values_mnar,high,XGBoost,0.912280701754386,0.9649122807017544,0.9298245614035088,5.263157894736836,1.754385964912275,automated_cleaning,tree
Breast Cancer,missing_values_mnar,low,Decision Tree,0.912280701754386,0.9298245614035088,0.912280701754386,1.754385964912275,0.0,automated_cleaning,tree
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,0.9298245614035088,0.0,0.8771929824561542,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,low,KNN,0.956140350877193,0.956140350877193,0.9473684210526316,0.0,-0.877192982456132,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,low,LightGBM,0.956140350877193,0.9736842105263158,0.9736842105263158,1.7543859649122862,1.7543859649122862,automated_cleaning,tree
Breast Cancer,missing_values_mnar,low,Logistic Regression,0.9912280701754386,0.9649122807017544,0.9824561403508772,-2.631578947368418,-0.877192982456132,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,low,MLP,0.9824561403508772,0.9649122807017544,0.9824561403508772,-1.7543859649122862,0.0,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,low,Random Forest,0.9736842105263158,0.9736842105263158,0.9649122807017544,0.0,-0.8771929824561431,automated_cleaning,tree
Breast Cancer,missing_values_mnar,low,XGBoost,0.9736842105263158,0.9649122807017544,0.9736842105263158,-0.8771929824561431,0.0,automated_cleaning,tree
Breast Cancer,missing_values_mnar,medium,Decision Tree,0.9298245614035088,0.9298245614035088,0.912280701754386,0.0,-1.754385964912275,automated_cleaning,tree
Breast Cancer,missing_values_mnar,medium,Gaussian Naive Bayes,0.9210526315789472,0.9210526315789472,0.9385964912280702,0.0,1.7543859649122973,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,medium,KNN,0.9298245614035088,0.956140350877193,0.9385964912280702,2.631578947368418,0.8771929824561431,automated_cleaning,non-tree
Breast Cancer,missing_values_mnar,medium,LightGBM,0.9649122807017544,0.9736842105263158,0.9473684210526316,0.8771929824561431,-1.754385964912275,automated_cleaning,tree
